# lumi Mchi Mphi nEvent
25247 1 50 281
25266 40 100 250
25293 1 350 222
25296 1 500 215
25292 51 100 263
25302 51 100 279
25321 1 100 273
25325 45 100 261
25335 1 150 268
25350 1 100 279
25305 1 50 298
25389 30 100 288
25430 20 100 272
25537 1 500 237
25552 1 200 237
54931 45 100 270
25327 55 100 276
25416 1 50 270
32735 1 200 245
32772 55 100 255
32787 30 100 268
32854 1 150 254
25810 1 50 269
25860 49 100 267
25873 1 50 271
32316 1 100 274
32321 1 200 234
32593 1 100 261
25883 51 100 260
25885 1 100 260
32023 1 50 275
32540 1 500 223
32741 1 200 224
32770 1 450 212
32789 1 350 233
53121 1 500 199
53329 1 250 236
53345 1 300 226
53365 1 500 223
53383 1 200 247
53389 1 100 267
53396 1 100 259
53126 55 100 234
53187 1 500 201
53326 1 100 255
53327 1 100 261
53330 1 300 214
53358 1 250 231
54598 40 100 270
53127 1 150 273
53134 1 50 253
53143 55 100 238
53165 45 100 258
53167 1 50 272
53176 1 50 257
53128 55 100 267
53155 1 100 272
53197 20 100 267
54485 1 400 238
55990 1 250 263
56474 1 50 280
53324 49 100 259
55841 1 250 234
56488 51 100 262
56956 51 100 252
56986 1 50 297
69178 1 100 264
53337 1 200 232
53347 1 100 267
53379 1 150 254
53406 40 100 260
54897 1 350 240
55730 1 450 199
56471 1 100 233
53369 49 100 257
53482 45 100 256
53483 1 50 259
53999 1 50 261
56432 30 100 259
56463 55 100 257
53371 40 100 239
53709 1 150 263
53738 51 100 253
53739 1 100 261
54579 1 100 273
54603 1 300 244
53395 51 100 248
55720 1 250 243
56515 55 100 245
56524 55 100 273
69159 49 100 294
69168 1 350 246
53572 45 100 259
54605 40 100 277
54923 1 100 267
55707 1 500 213
55849 1 50 288
55918 1 50 276
53672 1 100 224
54059 1 400 218
56117 1 50 280
56132 1 50 247
56134 1 50 281
56148 1 50 282
53984 1 250 235
53985 40 100 254
55029 51 100 259
55036 55 100 256
55096 1 50 263
55823 51 100 252
54569 1 100 259
54586 1 50 254
54591 1 100 258
54596 40 100 266
54604 30 100 261
54606 1 100 254
55032 20 100 285
55127 49 100 267
55260 1 50 261
56485 1 400 224
56978 1 50 268
69204 1 450 230
55034 1 450 228
55057 1 50 283
55058 1 400 256
55059 1 100 249
55061 1 50 274
55089 40 100 265
55063 1 100 247
55081 45 100 259
55085 1 100 262
55086 1 100 278
